session_id,timestamp,hypothesis,workload,config_g,config_c,iteration,run_type,cycles,cache_misses,branch_misses,page_faults,context_switches
20260714_163230,2026-07-14T16:32:39.045699,H1,lat_mem_rd,on,100000,1,baseline,200000,1000,4000,22,10
20260714_163230,2026-07-14T16:32:43.541153,H1,lat_mem_rd,on,100000,1,profiled,300000,1000,2000,22,10
20260714_163230,2026-07-14T16:32:47.124338,H1,lat_mem_rd,on,100000,2,baseline,0,2000,1000,11,5
20260714_163230,2026-07-14T16:32:51.621414,H1,lat_mem_rd,on,100000,2,profiled,100000,0,1000,11,6
20260714_163230,2026-07-14T16:32:55.207872,H1,lat_mem_rd,on,100000,3,baseline,700000,5000,4000,24,10
20260714_163230,2026-07-14T16:32:59.705767,H1,lat_mem_rd,on,100000,3,profiled,200000,5000,4000,24,9
20260714_163230,2026-07-14T16:33:03.296948,H1,lat_mem_rd,on,100000,4,baseline,600000,4000,3000,24,10
20260714_163230,2026-07-14T16:33:07.798034,H1,lat_mem_rd,on,100000,4,profiled,0,6000,3000,24,10
20260714_163230,2026-07-14T16:33:11.384763,H1,lat_mem_rd,on,100000,5,baseline,400000,9000,3000,24,10
20260714_163230,2026-07-14T16:33:15.885711,H1,lat_mem_rd,on,100000,5,profiled,100000,4000,2000,12,6
20260714_163230,2026-07-14T16:33:19.464169,H1,lat_mem_rd,on,100000,6,baseline,300000,2000,1000,11,5
20260714_163230,2026-07-14T16:33:23.958427,H1,lat_mem_rd,on,100000,6,profiled,0,1000,1000,11,6
20260714_163230,2026-07-14T16:33:27.538490,H1,lat_mem_rd,on,100000,7,baseline,0,1000,3000,22,10
20260714_163230,2026-07-14T16:33:32.040985,H1,lat_mem_rd,on,100000,7,profiled,200000,2000,3000,22,9
20260714_163230,2026-07-14T16:33:35.618935,H1,lat_mem_rd,on,100000,8,baseline,200000,0,1000,11,6
20260714_163230,2026-07-14T16:33:40.118258,H1,lat_mem_rd,on,100000,8,profiled,200000,0,6000,24,10
20260714_163230,2026-07-14T16:33:43.697041,H1,lat_mem_rd,on,100000,9,baseline,300000,0,1000,12,5
20260714_163230,2026-07-14T16:33:48.196484,H1,lat_mem_rd,on,100000,9,profiled,100000,3000,1000,12,6
20260714_163230,2026-07-14T16:33:51.778715,H1,lat_mem_rd,on,100000,10,baseline,100000,4000,2000,24,10
20260714_163230,2026-07-14T16:33:56.280817,H1,lat_mem_rd,on,100000,10,profiled,300000,5000,4000,24,10
20260714_163230,2026-07-14T16:33:59.873643,H1,lat_mem_rd,on,100000,11,baseline,0,3000,1000,12,6
20260714_163230,2026-07-14T16:34:04.370966,H1,lat_mem_rd,on,100000,11,profiled,400000,4000,4000,23,9
20260714_163230,2026-07-14T16:34:07.953538,H1,lat_mem_rd,on,100000,12,baseline,0,1000,4000,22,10
20260714_163230,2026-07-14T16:34:12.457349,H1,lat_mem_rd,on,100000,12,profiled,100000,3000,3000,22,10
20260714_163230,2026-07-14T16:34:16.039262,H1,lat_mem_rd,on,100000,13,baseline,100000,0,1000,11,5
20260714_163230,2026-07-14T16:34:20.535443,H1,lat_mem_rd,on,100000,13,profiled,300000,0,1000,11,6
20260714_163230,2026-07-14T16:34:24.117053,H1,lat_mem_rd,on,100000,14,baseline,100000,3000,4000,24,10
20260714_163230,2026-07-14T16:34:28.614036,H1,lat_mem_rd,on,100000,14,profiled,300000,5000,4000,24,9
20260714_163230,2026-07-14T16:34:32.198569,H1,lat_mem_rd,on,100000,15,baseline,400000,3000,3000,12,6
20260714_163230,2026-07-14T16:34:36.693894,H1,lat_mem_rd,on,100000,15,profiled,500000,4000,2000,24,10
20260714_163230,2026-07-14T16:34:40.274945,H1,lat_mem_rd,on,100000,16,baseline,900000,7000,3000,24,9
20260714_163230,2026-07-14T16:34:44.776865,H1,lat_mem_rd,on,100000,16,profiled,100000,2000,2000,12,6
20260714_163230,2026-07-14T16:34:48.365697,H1,lat_mem_rd,on,100000,17,baseline,0,3000,1000,11,5
20260714_163230,2026-07-14T16:34:52.869503,H1,lat_mem_rd,on,100000,17,profiled,100000,4000,2000,11,6
20260714_163230,2026-07-14T16:34:56.454487,H1,lat_mem_rd,on,100000,18,baseline,800000,4000,6000,22,10
20260714_163230,2026-07-14T16:35:00.947339,H1,lat_mem_rd,on,100000,18,profiled,500000,3000,4000,22,9
